Gene	GSM410666	GSM410667	GSM410668	GSM410669	GSM410670	GSM410671	GSM410672	GSM410673	GSM410674	GSM410675	GSM410676	GSM410677
"6387"	7.950092334	7.874294557	7.432359854	8.055754163	7.845193245	7.824353382	10.07054823	9.577180404	9.931994735	10.61580856	10.39394686	9.987901831
"6405"	7.889990559	7.317891462	8.014902212	8.084606396	7.799296245	8.473667461	9.651609938	9.677272491	9.917436968	9.953034894	9.943228239	9.910651605
"7852"	10.31962921	10.37714226	10.33766488	10.09323104	10.12293679	10.02446145	12.15920394	12.48288457	12.2786826	11.58079589	11.75161006	12.13320062
"27289"	7.288476738	7.001184105	7.337538961	6.86899845	7.251517033	6.869301487	9.314604132	9.141822784	9.102317346	8.396911309	8.252893379	8.842574068
"5998"	9.260822609	9.257049678	9.422637576	9.029358107	8.965172338	8.873726755	10.59795246	10.89185334	10.86359969	10.08496813	10.18208141	10.60638335
"90249"	6.49185397	6.714374125	6.48607984	6.568563546	6.262613392	6.308732009	7.635140008	7.574256675	7.80871962	7.843682351	7.926317682	7.973957463
"219699"	8.318874611	8.154445006	8.157234577	8.196450705	7.926411987	7.898177151	9.306269822	9.498953554	9.820916751	8.591915464	9.049200088	9.496473966
"3985"	7.81453938	7.925866762	7.865056245	7.701673074	7.653461764	7.368301337	8.854136871	8.669897525	8.801375528	8.642102045	8.688033194	8.697696225
"5362"	7.715929848	7.564154927	7.682727713	7.789829153	7.630482485	7.969116745	8.620691444	8.41165339	8.699180446	8.517550194	8.350568636	8.480337155
"2534"	10.36589969	10.54409148	10.58065083	10.45816193	10.45834878	10.13807589	11.19194745	11.33304155	11.25271595	10.94956885	11.03875006	11.14879664
"1947"	8.004449734	7.845797011	8.008449109	7.842832933	7.949357857	7.504525273	8.354744707	8.236800276	8.472028692	8.675293146	8.620452486	8.640482809
"5879"	6.03090198	5.921785288	6.416786105	6.197972041	6.234089146	4.359443972	6.178157553	6.275427393	6.250051452	6.510764984	6.488892223	6.559150604
"3688"	11.59683205	11.66251195	11.66094459	11.58583093	11.74075451	11.89218329	12.26108431	12.15547286	12.21163519	12.01944942	12.09979195	12.23731781
"2771"	11.02724779	11.06306739	11.0887069	11.3381596	11.13836515	10.5993093	11.34959104	11.55663892	11.52063495	11.43213168	11.46318153	11.45658146
"5532"	9.163449228	9.135095161	9.219624917	9.039731848	8.961625432	8.932020656	8.537729751	8.596897709	8.531401546	8.812590177	8.781965376	8.67956148
"223117"	5.046582838	5.088793629	4.797619936	4.922993461	4.876526097	4.803791741	4.588219139	4.586369573	4.339965028	4.442607755	4.494807373	4.407722942
"4775"	8.030591772	7.919600967	8.177914749	7.88825815	7.997905765	7.942908519	7.753418553	7.408232211	7.566470018	7.532226755	7.433348811	7.472382084
"29984"	7.36305215	7.470460551	7.584073849	7.258207872	7.223891371	7.299344367	6.949525045	7.0605408	6.9849725	6.817565479	6.662000043	6.899916625
"5921"	10.67293597	10.73337156	10.7492726	10.5308961	10.65224063	10.76735308	10.27677402	10.11393946	10.23271678	10.20374268	10.09105273	10.2118407
"7869"	6.341105701	6.24738569	6.453985354	6.307777804	6.25117567	6.52446621	5.949492057	6.156457893	5.682041334	5.819078208	5.940668267	5.466179154
"1073"	10.23993701	10.23667292	10.2240827	10.3448908	10.29605448	10.0349319	9.765729725	9.644854971	9.81624138	9.624755059	9.64340692	9.768519692
"2048"	8.417565414	8.208296966	8.335179002	8.239549963	8.091819504	8.11772939	7.736485625	7.609987844	7.747645693	7.532616408	7.487702532	7.817910148
"25"	9.838416415	9.96066958	9.994736681	9.846514778	9.906801208	9.637911206	9.261706128	9.299138226	9.443555939	9.269466458	9.097815286	9.310927768
"10725"	6.372347399	6.30427425	6.350607242	6.583601672	6.463677331	8.380315935	6.058639519	5.995645351	6.249023478	6.32775781	6.150351146	6.138949033
"4233"	9.523609572	9.458388685	9.607797222	9.547619938	9.593399598	9.417771751	8.946376801	8.655322366	8.962383527	9.065313776	8.840532419	8.906531041
"9353"	6.589716621	6.647460011	6.653438432	6.499322424	6.604876206	6.892768591	5.973492353	6.058414217	5.806821894	5.923681988	6.059593887	5.871421597
"2044"	5.131272146	4.658273684	4.752289639	4.971380101	5.21483296	5.195014974	4.334648468	4.444709268	4.120280501	3.980057695	4.213254439	4.614586742
"64221"	8.004501609	8.124721684	8.440468736	7.931652213	7.676094247	7.929859928	7.149916314	7.287293344	7.261922979	7.228181129	7.080966375	7.346534564
"2050"	10.1001956	9.843795965	10.34582325	9.849626965	9.74928827	9.875307016	9.151824579	9.212139148	9.132680538	9.098688119	9.190068654	8.982544734
"3983"	9.304121955	9.307914384	9.285281725	8.975122954	8.92818038	8.987194401	8.155680043	8.349016593	8.502239324	8.00932049	7.860807765	8.34652994
"22885"	9.799003549	9.754467387	9.85202371	9.755211469	9.784869968	9.883431867	8.723586534	8.691234319	8.822507711	8.823113467	8.745571765	8.766168794
"10512"	7.054646902	6.640327253	6.758655836	7.035774319	6.853623674	6.864880935	5.718099347	5.451923277	5.593069669	5.796654553	5.657274806	5.806477751
"10371"	7.336847187	7.658350323	7.379738186	7.264930732	7.320081376	7.396728293	6.017079956	6.361887185	6.124201688	6.240022694	6.094288804	6.081450419
"59277"	10.10292423	10.25322831	10.21381628	9.86803771	9.985562401	9.835506596	8.652673813	8.864715225	9.002377741	8.01961478	8.09162526	8.368163352
"56920"	9.362414652	9.112170801	9.433866592	8.418025417	8.374512042	8.537177486	7.108306214	7.331618143	7.148283189	6.441575596	6.22487997	6.862285242
