Gene	GSM410666	GSM410667	GSM410668	GSM410669	GSM410670	GSM410671	GSM410672	GSM410673	GSM410674	GSM410675	GSM410676	GSM410677
"10154"	4.893706701	5.094202858	4.849237062	5.027144547	4.834964468	4.807312226	4.7267969	4.610561703	4.511073624	4.486823514	4.539536008	4.426059923
"1020"	8.584349939	8.309497722	8.508220018	8.359778587	8.246351508	8.395711108	8.578275237	8.719844604	8.677734075	8.559543869	8.583690303	8.655051325
"10298"	9.309851172	9.282835626	9.18864448	9.34724351	9.136155384	9.330084751	9.05924173	9.24347983	9.18940406	9.22671963	9.229511917	9.241413132
"10371"	7.336847187	7.658350323	7.379738186	7.264930732	7.320081376	7.396728293	6.017079956	6.361887185	6.124201688	6.240022694	6.094288804	6.081450419
"10500"	8.009855412	7.976350185	8.151280491	7.861077806	7.878180431	7.994686757	7.720794661	7.736693913	7.772033597	7.686968772	7.868538814	7.917689675
"10501"	7.795298029	7.853317293	7.804457955	7.79302071	7.701450591	7.847863255	8.010775665	8.056394717	7.78222619	7.756581986	7.790637023	7.786132191
"10505"	6.693636546	6.686561668	6.728141726	6.797508711	6.729152478	6.88529229	6.883595291	6.959041886	6.844066102	6.875173826	7.105663057	7.172707282
"10507"	6.899794537	7.26971264	7.264639068	7.020627706	6.87462891	6.937968128	6.847432707	7.077685965	7.098200823	6.925380079	6.890333972	7.00727974
"10509"	8.475544243	8.689137186	8.573605905	8.541282803	8.528716104	8.615341759	8.752993964	8.675115968	8.694448316	8.991749953	8.824172011	8.908784665
"10512"	7.054646902	6.640327253	6.758655836	7.035774319	6.853623674	6.864880935	5.718099347	5.451923277	5.593069669	5.796654553	5.657274806	5.806477751
"1072"	12.83351119	12.80474026	12.92280332	13.02287613	12.97920374	12.79833831	13.1119547	13.10632335	13.05080708	13.14930823	13.23634492	13.14767589
"10725"	6.372347399	6.30427425	6.350607242	6.583601672	6.463677331	8.380315935	6.058639519	5.995645351	6.249023478	6.32775781	6.150351146	6.138949033
"1073"	10.23993701	10.23667292	10.2240827	10.3448908	10.29605448	10.0349319	9.765729725	9.644854971	9.81624138	9.624755059	9.64340692	9.768519692
"11261"	8.507038374	8.537325335	8.454610098	8.734479159	8.585746082	8.818577065	8.307837984	8.474734776	8.363577873	8.222361294	8.108544359	8.290906797
"137970"	4.706876421	4.873177033	4.673580844	4.642591213	4.653351771	4.468256851	4.500229929	4.684435505	4.616493311	4.345166494	4.397368784	4.584686306
"1630"	5.142376022	5.29988838	5.166898339	5.025987104	5.29287177	5.240125794	5.572153631	5.521003974	5.312489192	5.351276019	5.465412413	5.357635296
"1808"	11.50863199	11.44763024	11.5285417	11.41538323	11.41569175	11.51611072	11.76716707	11.67652895	11.74973734	11.65331843	11.69159628	11.72167285
"1942"	10.055076	9.990603505	10.06619306	9.421015864	9.424335798	9.242040883	10.21716818	10.42847858	10.27879246	9.492968264	9.63926462	10.02828526
"1943"	4.729680072	4.83256468	5.104695282	4.869788717	4.803437698	4.760402802	4.785563137	4.843636407	4.70142705	4.812725548	4.899394623	5.068559819
"1944"	7.032179906	7.146066983	6.968229142	6.528337375	6.788122776	6.969541115	6.984549496	7.043338159	7.150013948	7.021020645	6.978275798	6.921479098
"1945"	7.617010532	7.170796995	7.513055096	7.401544624	7.407499858	7.177773679	6.959003767	6.964517256	7.145185914	6.92164495	6.809403111	7.214792684
"1946"	5.980015848	6.328673702	5.945404011	5.941011975	6.034110276	5.958485184	5.905319896	6.182105108	5.993417998	6.033224694	5.973567892	5.949400438
"1947"	8.004449734	7.845797011	8.008449109	7.842832933	7.949357857	7.504525273	8.354744707	8.236800276	8.472028692	8.675293146	8.620452486	8.640482809
"1948"	10.00697397	9.940535746	10.01433034	9.343808143	9.319507136	8.751768823	10.29011719	10.41088833	10.24784375	9.261026111	9.417999754	10.0328176
"1949"	6.909014266	7.023426871	6.761367941	6.673151986	6.687639867	6.484639885	6.724699653	7.257422323	7.058105963	6.520323871	6.644288613	6.793967472
"1969"	9.667191968	9.766810999	9.861775776	9.675375123	9.68898515	9.774410135	9.512968243	9.488678892	9.58368156	9.551111312	9.59695986	9.597826597
