Gene	GSM410666	GSM410667	GSM410668	GSM410669	GSM410670	GSM410671	GSM410672	GSM410673	GSM410674	GSM410675	GSM410676	GSM410677
"4860"	10.7263579	10.60506538	10.72181437	10.79267834	10.91685939	10.80681361	13.02741759	13.00327383	12.9566556	12.9692123	13.02588608	13.0034505
"3937"	3.627342575	3.618584898	3.732560966	3.456792135	3.428559677	3.601687613	5.393330208	5.252390201	6.032020077	4.773420537	4.973897391	5.903364703
"3383"	7.899135247	7.881017448	8.452249849	7.6174556	7.426842226	7.601233659	9.81858802	9.6981858	10.5804557	8.356268471	8.513299646	9.767358863
"5154"	8.885908034	8.843120931	8.743859241	9.044827136	8.965499478	8.915627562	10.50580824	10.64070622	10.58549605	10.30546295	10.4580664	10.52141146
"958"	7.740367625	7.346176755	7.410600102	7.393912096	7.185442665	6.851473508	8.98696113	9.125446526	8.956710594	8.501720956	8.66277196	8.910117908
"22918"	10.16708139	10.13784971	10.20488848	10.23771227	10.13504241	10.41848941	11.5034806	11.35170228	11.70331545	11.42271231	11.29805699	11.52421874
"10397"	8.716235699	8.619471823	8.836141317	9.139742044	8.995286419	8.996070591	10.02822414	10.00516325	10.12037079	10.21892688	10.10443974	10.16160083
"604"	7.754695887	7.515114856	7.524757789	7.410221986	7.61644019	7.249460581	8.728933865	8.603330816	8.740649711	8.524245264	8.61037962	8.707562312
"5155"	9.283096821	9.46061681	9.426943306	9.319523152	9.086336178	9.006304517	10.32776435	10.3980735	10.428996	10.37671121	10.42984844	10.43096235
"10014"	7.176387192	7.448833206	7.365580783	7.087484256	7.060319125	6.833210098	8.115355867	8.335327692	8.534591289	8.025336566	8.16199699	7.870825244
"80381"	6.964370127	7.016492802	7.149989672	7.547686427	7.100477669	7.320712325	8.224793471	8.27764918	8.237145777	8.015650424	8.183083854	8.209024213
"961"	9.801538385	9.671845867	9.78145788	10.06435475	9.904673121	10.0373269	10.86119034	10.74134109	10.83990284	10.81960193	10.92169685	10.85907152
"5295"	7.316684229	7.460442975	7.413647382	7.069969039	7.137108608	7.519667472	8.313655467	8.02246073	8.285905405	8.439699654	8.275297069	8.336336908
"1803"	7.571401868	7.966103036	7.71138648	7.626331532	7.651610266	8.206314996	8.775191282	8.588291276	8.780326433	8.739362425	8.663087968	8.72004534
"3659"	7.527577274	7.298035901	7.405497751	7.285491586	7.179881538	6.882493304	8.218341408	8.379033133	8.451419619	7.80302899	7.724234472	8.27091356
"23075"	9.80827165	9.830460668	9.874053714	9.840681949	9.775617946	9.649976375	10.6345425	10.68761507	10.83821046	10.64265674	10.62407803	10.59886058
"4846"	8.666759019	8.235669329	8.500781189	8.518333138	8.480300093	8.767400171	9.192402761	9.029471006	9.333473883	9.796466387	9.517153082	9.474235679
"22904"	7.018742167	7.19929926	7.155159906	7.380306767	7.149784278	7.023724541	7.944818827	7.930899555	8.111252355	8.00711061	7.935078946	8.10795617
"6095"	4.407035665	4.176197977	4.236515818	4.29524201	4.09754773	4.373575868	5.204885739	5.298612099	5.37488938	4.921044388	4.995323378	4.821157499
"5359"	7.761817472	7.49860791	8.159117507	7.842635229	7.730161356	7.601136966	8.739598983	8.560490448	8.440365306	8.459855426	8.582197607	8.433946198
"4791"	7.207143211	6.945997786	7.207541124	7.442826019	7.319988488	7.364687778	8.297228428	7.714674014	7.786554829	8.050559719	8.154286349	8.082267463
"5971"	7.492905688	7.237842544	7.335721535	7.19277279	7.161568042	7.006307537	7.83337928	8.008484944	8.220535196	7.924069678	7.610821582	7.808765764
